simulation,nodename,nodeIp,enmVersion
Riv13LTED144-limx160-RV-FDD-LTE32,Riv13LTE32ERBS00001,10.152.7.136,13A
Riv09LTED1189-limx160-FDD-LTE07,Riv09LTE07ERBS00001,10.152.5.6,13B
Riv06LTEE163-limx38-TOR-FDD-LTE03,Riv06LTE03ERBS00001,10.152.0.161,14A
Riv01LTEE1200-V2x160-RV-FDD-LTE01,Riv01LTE01ERBS00001,10.152.0.1,14B
